,StateDesc,Short_Question_Text,Measure,StateAbbr,TotalNumber,ESTIMATESBASE2020
104,California,All Teeth Lost,All teeth lost among adults aged >=65 years,CA,8047863.0,39538223
105,California,Annual Checkup,Visits to doctor for routine checkup within the past year among adults aged >=18 years,CA,46052565.0,39538223
106,California,Arthritis,Arthritis among adults aged >=18 years,CA,13321219.0,39538223
107,California,Binge Drinking,Binge drinking among adults aged >=18 years,CA,12485150.0,39538223
108,California,COPD,Chronic obstructive pulmonary disease among adults aged >=18 years,CA,3768022.0,39538223
109,California,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 years,CA,3667195.0,39538223
110,California,Cervical Cancer Screening,Cervical cancer screening among adult women aged 21-65 years,CA,57102473.0,39538223
111,California,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 years,CA,1898486.0,39538223
112,California,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",CA,41995987.0,39538223
113,California,Core preventive services for older men,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",CA,23767578.0,39538223
114,California,Core preventive services for older women,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",CA,19606299.0,39538223
115,California,Coronary Heart Disease,Coronary heart disease among adults aged >=18 years,CA,3624269.0,39538223
116,California,Current Asthma,Current asthma among adults aged >=18 years,CA,6666167.0,39538223
117,California,Current Smoking,Current smoking among adults aged >=18 years,CA,8412806.0,39538223
118,California,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 years,CA,43574516.0,39538223
119,California,Depression,Depression among adults aged >=18 years,CA,11865048.0,39538223
120,California,Diabetes,Diagnosed diabetes among adults aged >=18 years,CA,6906855.0,39538223
121,California,General Health,Fair or poor self-rated health status among adults aged >=18 years,CA,10890260.0,39538223
122,California,Health Insurance,Current lack of health insurance among adults aged 18-64 years,CA,10668880.0,39538223
123,California,Mammography,Mammography use among women aged 50-74 years,CA,50209090.0,39538223
124,California,Mental Health,Mental health not good for >=14 days among adults aged >=18 years,CA,10383849.0,39538223
125,California,Obesity,Obesity among adults aged >=18 years,CA,20468994.0,39538223
126,California,Physical Health,Physical health not good for >=14 days among adults aged >=18 years,CA,7052888.0,39538223
127,California,Physical Inactivity,No leisure-time physical activity among adults aged >=18 years,CA,15210485.0,39538223
128,California,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 years,CA,22926785.0,39538223
129,California,Stroke,Stroke among adults aged >=18 years,CA,1866765.0,39538223
130,Colorado,All Teeth Lost,All teeth lost among adults aged >=65 years,CO,982279.0,5773714
131,Colorado,Annual Checkup,Visits to doctor for routine checkup within the past year among adults aged >=18 years,CO,5681629.0,5773714
132,Colorado,Arthritis,Arthritis among adults aged >=18 years,CO,1727708.0,5773714
133,Colorado,Binge Drinking,Binge drinking among adults aged >=18 years,CO,1627163.0,5773714
134,Colorado,COPD,Chronic obstructive pulmonary disease among adults aged >=18 years,CO,433642.0,5773714
135,Colorado,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 years,CO,498606.0,5773714
136,Colorado,Cervical Cancer Screening,Cervical cancer screening among adult women aged 21-65 years,CO,7137586.0,5773714
137,Colorado,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 years,CO,210144.0,5773714
138,Colorado,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",CO,6031072.0,5773714
139,Colorado,Core preventive services for older men,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",CO,3741167.0,5773714
140,Colorado,Core preventive services for older women,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",CO,3178072.0,5773714
141,Colorado,Coronary Heart Disease,Coronary heart disease among adults aged >=18 years,CO,406728.0,5773714
142,Colorado,Current Asthma,Current asthma among adults aged >=18 years,CO,850334.0,5773714
143,Colorado,Current Smoking,Current smoking among adults aged >=18 years,CO,1223567.0,5773714
144,Colorado,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 years,CO,5596757.0,5773714
145,Colorado,Depression,Depression among adults aged >=18 years,CO,1705697.0,5773714
146,Colorado,Diabetes,Diagnosed diabetes among adults aged >=18 years,CO,656789.0,5773714
147,Colorado,General Health,Fair or poor self-rated health status among adults aged >=18 years,CO,960359.0,5773714
148,Colorado,Health Insurance,Current lack of health insurance among adults aged 18-64 years,CO,1259406.0,5773714
149,Colorado,Mammography,Mammography use among women aged 50-74 years,CO,5974908.0,5773714
150,Colorado,Mental Health,Mental health not good for >=14 days among adults aged >=18 years,CO,1210986.0,5773714
151,Colorado,Obesity,Obesity among adults aged >=18 years,CO,2151389.0,5773714
152,Colorado,Physical Health,Physical health not good for >=14 days among adults aged >=18 years,CO,747445.0,5773714
153,Colorado,Physical Inactivity,No leisure-time physical activity among adults aged >=18 years,CO,1511404.0,5773714
154,Colorado,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 years,CO,2433645.0,5773714
155,Colorado,Stroke,Stroke among adults aged >=18 years,CO,204863.0,5773714
156,Connecticut,All Teeth Lost,All teeth lost among adults aged >=65 years,CT,520934.0,3605944
157,Connecticut,Annual Checkup,Visits to doctor for routine checkup within the past year among adults aged >=18 years,CT,3299806.0,3605944
158,Connecticut,Arthritis,Arthritis among adults aged >=18 years,CT,962485.0,3605944
159,Connecticut,Binge Drinking,Binge drinking among adults aged >=18 years,CT,700808.0,3605944
160,Connecticut,COPD,Chronic obstructive pulmonary disease among adults aged >=18 years,CT,254505.0,3605944
161,Connecticut,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 years,CT,265257.0,3605944
162,Connecticut,Cervical Cancer Screening,Cervical cancer screening among adult women aged 21-65 years,CT,3720227.0,3605944
163,Connecticut,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 years,CT,116569.0,3605944
164,Connecticut,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",CT,3267988.0,3605944
165,Connecticut,Core preventive services for older men,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",CT,1894297.0,3605944
166,Connecticut,Core preventive services for older women,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",CT,1676116.0,3605944
167,Connecticut,Coronary Heart Disease,Coronary heart disease among adults aged >=18 years,CT,243022.0,3605944
168,Connecticut,Current Asthma,Current asthma among adults aged >=18 years,CT,468889.0,3605944
169,Connecticut,Current Smoking,Current smoking among adults aged >=18 years,CT,692651.0,3605944
170,Connecticut,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 years,CT,2929696.0,3605944
171,Connecticut,Depression,Depression among adults aged >=18 years,CT,876135.0,3605944
172,Connecticut,Diabetes,Diagnosed diabetes among adults aged >=18 years,CT,413052.0,3605944
173,Connecticut,General Health,Fair or poor self-rated health status among adults aged >=18 years,CT,580933.0,3605944
174,Connecticut,Health Insurance,Current lack of health insurance among adults aged 18-64 years,CT,549023.0,3605944
175,Connecticut,Mammography,Mammography use among women aged 50-74 years,CT,3437037.0,3605944
176,Connecticut,Mental Health,Mental health not good for >=14 days among adults aged >=18 years,CT,644028.0,3605944
177,Connecticut,Obesity,Obesity among adults aged >=18 years,CT,1338641.0,3605944
178,Connecticut,Physical Health,Physical health not good for >=14 days among adults aged >=18 years,CT,418224.0,3605944
179,Connecticut,Physical Inactivity,No leisure-time physical activity among adults aged >=18 years,CT,967523.0,3605944
180,Connecticut,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 years,CT,1520877.0,3605944
181,Connecticut,Stroke,Stroke among adults aged >=18 years,CT,120726.0,3605944
182,Delaware,All Teeth Lost,All teeth lost among adults aged >=65 years,DE,102862.0,989948
183,Delaware,Annual Checkup,Visits to doctor for routine checkup within the past year among adults aged >=18 years,DE,582032.0,989948
184,Delaware,Arthritis,Arthritis among adults aged >=18 years,DE,171721.0,989948
185,Delaware,Binge Drinking,Binge drinking among adults aged >=18 years,DE,125302.0,989948
186,Delaware,COPD,Chronic obstructive pulmonary disease among adults aged >=18 years,DE,49338.0,989948
187,Delaware,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 years,DE,45469.0,989948
188,Delaware,Cervical Cancer Screening,Cervical cancer screening among adult women aged 21-65 years,DE,631338.0,989948
189,Delaware,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 years,DE,22433.0,989948
190,Delaware,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",DE,560743.0,989948
191,Delaware,Core preventive services for older men,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",DE,299848.0,989948
192,Delaware,Core preventive services for older women,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",DE,266356.0,989948
193,Delaware,Coronary Heart Disease,Coronary heart disease among adults aged >=18 years,DE,45374.0,989948
194,Delaware,Current Asthma,Current asthma among adults aged >=18 years,DE,83978.0,989948
195,Delaware,Current Smoking,Current smoking among adults aged >=18 years,DE,133079.0,989948
196,Delaware,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 years,DE,476688.0,989948
197,Delaware,Depression,Depression among adults aged >=18 years,DE,140882.0,989948
198,Delaware,Diabetes,Diagnosed diabetes among adults aged >=18 years,DE,84588.0,989948
199,Delaware,General Health,Fair or poor self-rated health status among adults aged >=18 years,DE,113907.0,989948
200,Delaware,Health Insurance,Current lack of health insurance among adults aged 18-64 years,DE,116703.0,989948
201,Delaware,Mammography,Mammography use among women aged 50-74 years,DE,595305.0,989948
202,Delaware,Mental Health,Mental health not good for >=14 days among adults aged >=18 years,DE,112121.0,989948
203,Delaware,Obesity,Obesity among adults aged >=18 years,DE,280312.0,989948
204,Delaware,Physical Health,Physical health not good for >=14 days among adults aged >=18 years,DE,79922.0,989948
205,Delaware,Physical Inactivity,No leisure-time physical activity among adults aged >=18 years,DE,197753.0,989948
206,Delaware,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 years,DE,272729.0,989948
207,Delaware,Stroke,Stroke among adults aged >=18 years,DE,23540.0,989948
208,District of Columbia,All Teeth Lost,All teeth lost among adults aged >=65 years,DC,134787.0,689545
209,District of Columbia,Annual Checkup,Visits to doctor for routine checkup within the past year among adults aged >=18 years,DC,841210.0,689545
210,District of Columbia,Arthritis,Arthritis among adults aged >=18 years,DC,214214.0,689545
211,District of Columbia,Binge Drinking,Binge drinking among adults aged >=18 years,DC,252123.0,689545
212,District of Columbia,COPD,Chronic obstructive pulmonary disease among adults aged >=18 years,DC,49343.0,689545
213,District of Columbia,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 years,DC,63182.0,689545
214,District of Columbia,Cervical Cancer Screening,Cervical cancer screening among adult women aged 21-65 years,DC,1027142.0,689545
215,District of Columbia,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 years,DC,31893.0,689545
216,District of Columbia,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",DC,935078.0,689545
217,District of Columbia,Core preventive services for older men,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",DC,503042.0,689545
218,District of Columbia,Core preventive services for older women,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",DC,438055.0,689545
219,District of Columbia,Coronary Heart Disease,Coronary heart disease among adults aged >=18 years,DC,51147.0,689545
220,District of Columbia,Current Asthma,Current asthma among adults aged >=18 years,DC,126964.0,689545
221,District of Columbia,Current Smoking,Current smoking among adults aged >=18 years,DC,159457.0,689545
222,District of Columbia,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 years,DC,793674.0,689545
223,District of Columbia,Depression,Depression among adults aged >=18 years,DC,240088.0,689545
224,District of Columbia,Diabetes,Diagnosed diabetes among adults aged >=18 years,DC,98683.0,689545
225,District of Columbia,General Health,Fair or poor self-rated health status among adults aged >=18 years,DC,138398.0,689545
226,District of Columbia,Health Insurance,Current lack of health insurance among adults aged 18-64 years,DC,92666.0,689545
227,District of Columbia,Mammography,Mammography use among women aged 50-74 years,DC,948316.0,689545
228,District of Columbia,Mental Health,Mental health not good for >=14 days among adults aged >=18 years,DC,179916.0,689545
229,District of Columbia,Obesity,Obesity among adults aged >=18 years,DC,294243.0,689545
230,District of Columbia,Physical Health,Physical health not good for >=14 days among adults aged >=18 years,DC,92065.0,689545
231,District of Columbia,Physical Inactivity,No leisure-time physical activity among adults aged >=18 years,DC,214214.0,689545
232,District of Columbia,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 years,DC,387511.0,689545
233,District of Columbia,Stroke,Stroke among adults aged >=18 years,DC,36706.0,689545
234,Florida,All Teeth Lost,All teeth lost among adults aged >=65 years,FL,4360757.0,21538187
235,Florida,Annual Checkup,Visits to doctor for routine checkup within the past year among adults aged >=18 years,FL,21331122.0,21538187
236,Florida,Arthritis,Arthritis among adults aged >=18 years,FL,6403713.0,21538187
237,Florida,Binge Drinking,Binge drinking among adults aged >=18 years,FL,4392372.0,21538187
238,Florida,COPD,Chronic obstructive pulmonary disease among adults aged >=18 years,FL,2118352.0,21538187
239,Florida,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 years,FL,1738918.0,21538187
240,Florida,Cervical Cancer Screening,Cervical cancer screening among adult women aged 21-65 years,FL,23186866.0,21538187
241,Florida,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 years,FL,893740.0,21538187
242,Florida,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",FL,20441330.0,21538187
243,Florida,Core preventive services for older men,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",FL,9853665.0,21538187
244,Florida,Core preventive services for older women,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",FL,9142057.0,21538187
245,Florida,Coronary Heart Disease,Coronary heart disease among adults aged >=18 years,FL,1821202.0,21538187
246,Florida,Current Asthma,Current asthma among adults aged >=18 years,FL,2522530.0,21538187
247,Florida,Current Smoking,Current smoking among adults aged >=18 years,FL,5211696.0,21538187
248,Florida,Dental Visit,Visits to dentist or dental clinic among adults aged >=18 years,FL,16514277.0,21538187
249,Florida,Depression,Depression among adults aged >=18 years,FL,5237856.0,21538187
250,Florida,Diabetes,Diagnosed diabetes among adults aged >=18 years,FL,3221130.0,21538187
251,Florida,General Health,Fair or poor self-rated health status among adults aged >=18 years,FL,4970026.0,21538187
252,Florida,Health Insurance,Current lack of health insurance among adults aged 18-64 years,FL,6891362.0,21538187
253,Florida,Mammography,Mammography use among women aged 50-74 years,FL,21523751.0,21538187
254,Florida,Mental Health,Mental health not good for >=14 days among adults aged >=18 years,FL,4503942.0,21538187
255,Florida,Obesity,Obesity among adults aged >=18 years,FL,8880975.0,21538187
256,Florida,Physical Health,Physical health not good for >=14 days among adults aged >=18 years,FL,3335683.0,21538187
257,Florida,Physical Inactivity,No leisure-time physical activity among adults aged >=18 years,FL,7883692.0,21538187
258,Florida,Sleep <7 hours,Sleeping less than 7 hours among adults aged >=18 years,FL,10079672.0,21538187
259,Florida,Stroke,Stroke among adults aged >=18 years,FL,946590.0,21538187
260,Georgia,All Teeth Lost,All teeth lost among adults aged >=65 years,GA,1696616.0,10711908
261,Georgia,Annual Checkup,Visits to doctor for routine checkup within the past year among adults aged >=18 years,GA,7250304.0,10711908
262,Georgia,Arthritis,Arthritis among adults aged >=18 years,GA,2228819.0,10711908
263,Georgia,Binge Drinking,Binge drinking among adults aged >=18 years,GA,1474139.0,10711908
264,Georgia,COPD,Chronic obstructive pulmonary disease among adults aged >=18 years,GA,617095.0,10711908
265,Georgia,Cancer (except skin),Cancer (excluding skin cancer) among adults aged >=18 years,GA,519706.0,10711908
266,Georgia,Cervical Cancer Screening,Cervical cancer screening among adult women aged 21-65 years,GA,7847553.0,10711908
267,Georgia,Chronic Kidney Disease,Chronic kidney disease among adults aged >=18 years,GA,297495.0,10711908
268,Georgia,Colorectal Cancer Screening,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",GA,6666962.0,10711908
269,Georgia,Core preventive services for older men,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",GA,3992699.0,10711908
